,Name of user,Competition Name,Label,Ranking
95,80,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.106582901625
96,80,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.0083104618126
97,80,Best International Future Lawyer Award 2017,0,0.0
98,80,Archasm Architecture Competition 2017,0,0.0578819938763
99,80,4th National Essay Writing Competition 2018,0,0.0292332229881
100,80,India?s Storytellers/ Script Contest 2017-2018,1,0.500469537092
101,80,Third National Essay Competition on Water 2017-18,0,0.0272187135893
102,80,Soul of Bengaluru Photo Contest 2017,0,0.0905941201253
103,80,1st International Article Writing Competition 2017,0,0.0525037207065
104,80,"Combating Corruption, Battling Black Money Competition 2017",0,0.0371397334317
105,80,Solar Chulha Innovation Challenge 2017,0,0.0641839748251
106,98,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
107,98,Marksman Call For Articles- November 2017,1,0.354364851724
108,98,Convergence 2017,1,0.339918010422
109,98,Prarambh 2018,1,0.39122759249
110,98,Click India Photography Competition - Shot 3,1,0.478529903633
111,98,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.164166963682
112,98,Battleground 8.0,1,0.305597605142
113,98,ShopFloor,0,0.27684680071
114,98,CrackItUp,0,0.165496874889
115,98,NEC IIT Bombay Presents CodeSprint,0,0.135226377377
116,98,Kamaal Dhamaal Bemisaal,0,0.261325336124
117,98,Brainy Awards,0,0.218631429203
118,98,Inquizito - Tickle Your Grey Cells,0,0.232206259421
119,98,Finathon - Time To Trade!,0,0.177663879697
120,98,Yalgaar - Time For Halla Bol!,0,0.201487062474
121,98,IntellOps- Article Writing Competition By OpCellence,0,0.26057299493
122,98,BIOCON PRESENTS SHOT OF LIFE,0,0.223368983354
123,98,NEC IIT Bombay Presents Empresario,0,0.232667789497
124,98,Rural Le Carte,0,0.237856898914
125,98,The Fast Pay Story,0,0.237856898914
126,98,"FINAcumen, IIM Nagpur",1,0.31091178947
127,98,NEC IIT Bombay Presents Hashtrix,0,0.135226377377
128,98,NEC IIT Bomaby Presents HackStack,0,0.237755596401
129,98,Asia Pacific International Conference,1,0.30356829022
130,98,Interview Question Of Year 2017,0,0.175470401894
131,98,The Great Analytics Quiz,0,0.2945341186
132,98,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",1,0.308488063204
133,98,KDP Pen To Publish Contest,1,0.346141481067
134,98,Banjara International Film Festival 2017,1,0.35261160373
135,98,Spanish Guitar Competition 2017,1,0.35844833185
136,98,SSGK Maestro Olympiad,0,0.126704366716
137,98,Global Business Model Competition 2017,0,0.273470632892
138,98,National Geography Olympiad 2017,1,0.456530885335
139,98,NATS Talent Search,1,0.460474068397
140,98,JIFF ISC Script Contest,0,0.0
141,98,Maay Marathi Film Competition 2017,0,0.176255541549
142,98,Project Innovation Contest,1,0.314841396309
143,98,Dream Build Play 2017 Challenge,1,0.307822644486
144,98,Photography Competition 2017,1,0.478529903633
145,98,Asia Young Designer Award Contest,1,0.448498519699
146,98,GYTI Innovation Awards,1,0.39122759249
147,98,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,1,0.485744919159
148,98,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,1,0.304254632731
149,98,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.131418129252
150,98,Best International Future Lawyer Award 2017,0,0.0
151,98,Archasm Architecture Competition 2017,0,0.17745662107
152,98,4th National Essay Writing Competition 2018,0,0.13917795917
153,98,India?s Storytellers/ Script Contest 2017-2018,1,0.304936653284
154,98,Third National Essay Competition on Water 2017-18,0,0.0871702773647
155,98,Soul of Bengaluru Photo Contest 2017,1,0.330502145412
156,98,1st International Article Writing Competition 2017,1,0.441482704219
157,98,"Combating Corruption, Battling Black Money Competition 2017",0,0.227116215766
158,98,Solar Chulha Innovation Challenge 2017,0,0.277245092289
159,123,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
160,123,Marksman Call For Articles- November 2017,1,0.649833621301
161,123,Convergence 2017,1,0.540274681276
162,123,Prarambh 2018,0,0.243247667988
163,123,Click India Photography Competition - Shot 3,1,0.739073386721
164,123,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0442113192153
165,123,Battleground 8.0,0,0.149394859681
166,123,ShopFloor,0,0.244599547985
167,123,CrackItUp,0,0.180749104419
168,123,NEC IIT Bombay Presents CodeSprint,0,0.13503946766
169,123,Kamaal Dhamaal Bemisaal,0,0.285730573325
170,123,Brainy Awards,0,0.253598524292
171,123,Inquizito - Tickle Your Grey Cells,0,0.0988330348457
172,123,Finathon - Time To Trade!,0,0.175838805487
173,123,Yalgaar - Time For Halla Bol!,0,0.275785380956
174,123,IntellOps- Article Writing Competition By OpCellence,0,0.29231024202
175,123,BIOCON PRESENTS SHOT OF LIFE,0,0.248941436103
176,123,NEC IIT Bombay Presents Empresario,0,0.150379178841
177,123,Rural Le Carte,0,0.204630176633
